# git-filter-repo commit map for the protocol/ import (source JMSBPP/cfmm-vol-markets@627566ee2cb91556e5fbf909d9d3197bb06a5d77, tag archive/pre-restructure)
# columns: old-sha new-sha (new = 0000… means pruned)
old                                      new
0d8b35ee2bcd12ac87542901f8a5a8d8c9f9d663 0000000000000000000000000000000000000000
0da8e07de25c8413e39849b7f7ec3185bfa0d3b9 0000000000000000000000000000000000000000
0dc3045ec474ea69702c56153c2e46ba857c390e 0000000000000000000000000000000000000000
0df4f12124df3b8b3e73a7baa74ccab6f30f40e8 0000000000000000000000000000000000000000
0e10fe712309f9ae21f36a35c2cc6fea838b4186 0000000000000000000000000000000000000000
0eb003b1e6cb89350801e43b26399d6c91e6c2fa 0000000000000000000000000000000000000000
0ebf74ccfb6e29ebc6b4323e137fd47e57f925e4 0000000000000000000000000000000000000000
0eebadbe1445b1f6d8ea8b8024637458129b8d2e 0000000000000000000000000000000000000000
0efde00173f2578128e76f7bc72e0d88d8f31dfa 0000000000000000000000000000000000000000
0f44daf2de5750944141bd6b62174b0dd31c9a34 0000000000000000000000000000000000000000
0f634182e82a3a963f89662b635cd05d5325c42b 0000000000000000000000000000000000000000
1023207a4640c3764b63dbe9ccf356734abb9a09 0000000000000000000000000000000000000000
1038b849188e4f40f50d1a740525f1f687a66226 0000000000000000000000000000000000000000
10737f8eb88397e73b1e478b90a1dce04f0a1ca2 0000000000000000000000000000000000000000
107ba0855fca627a4eb1f2ece2e02df6bbedf34b 0000000000000000000000000000000000000000
10a3231f1f60013522aaf884105b27043e02c7ae 0000000000000000000000000000000000000000
10b5f9ad9e7ec8eff67645dd2d477f619dafec92 0000000000000000000000000000000000000000
112c5fcfed885d235aa7256174b7cf362d8e42ba 0000000000000000000000000000000000000000
1164b4d6aea7c7fbd4fe4e4098d044d2d1ffabc5 0000000000000000000000000000000000000000
1165cbf578b6d148f61d97cea1a3c43b8c384b9f 0000000000000000000000000000000000000000
1177da1c04c45a6182b65fa071abe97aa0f23839 0000000000000000000000000000000000000000
11b475511f69c0ae3a7278fa12d15ff460a5beed 0000000000000000000000000000000000000000
1211db169cf323bf6c5ac9f05c8425018466f142 0000000000000000000000000000000000000000
127b8a764f4ac4d87af750e9e3b87c400509d257 0000000000000000000000000000000000000000
12bb9d7b929b2d0f873fcbbe75a3426175c4764e 0000000000000000000000000000000000000000
13ab992e480df1be8ad918eafa5bbf2c63cf957c 0000000000000000000000000000000000000000
13d6fb04121b8c91bd584870ce1fb7a994eb33fc 0000000000000000000000000000000000000000
13fde52c622ce0a070a3afd9e10a592cc14c2703 0000000000000000000000000000000000000000
1417958fd3c36daf545acecb34bcd200f56a4cf2 0000000000000000000000000000000000000000
142b5cd4baa00d236e64a0744d6623367420bc0f 0000000000000000000000000000000000000000
153460dbe27888fda275dfdb9d885607fafac4bf 0000000000000000000000000000000000000000
15392004bb67278aeabf84b9e31c824d223f42a6 0000000000000000000000000000000000000000
1551ed1fd0c925f3efcada958ac9a86a1977986e 0000000000000000000000000000000000000000
158ca84a73bee0074a6ee80b3063e3c3785cc77a 0000000000000000000000000000000000000000
15b6d05eb24696cae5ae68866546340616e6c41f 0000000000000000000000000000000000000000
15c539c36888d627f7c93ed91419a9007db00a93 0000000000000000000000000000000000000000
15dbff579d7bb64d3223f9b5dfdc806b5bb2f840 0000000000000000000000000000000000000000
1616a38d757c1af90d2b3ecd69e6067877c02eea 0000000000000000000000000000000000000000
1620eb876330fc8423b4de708973010cf8b64e04 0000000000000000000000000000000000000000
16462c12ef9295dba162e60e17a9dd9d1630b08a 0000000000000000000000000000000000000000
1673fec0113cda5effd6579172c9079684eaec72 0000000000000000000000000000000000000000
1750649e1512596a9c964fc358d7a9cbcbbe3a8b 0000000000000000000000000000000000000000
175a6f834f27e96a5d8490939222ae4fefc9ad7a 0000000000000000000000000000000000000000
17ebb86b39da84a9c62f91bc28eeca7516cd8e09 0000000000000000000000000000000000000000
1844e5740c7c97b00190a596fc4633245cfd2d44 0000000000000000000000000000000000000000
18493b0f72f4a4bdc3b80ca83cc9d78a097aba10 0000000000000000000000000000000000000000
1858e238809eb6355c7028e11419170b20e61554 0000000000000000000000000000000000000000
18f9c84544286a8336593aad3313b8d08aea97d8 0000000000000000000000000000000000000000
194a96a1e76b4ccc3746b5ffd6bc32c987b2bf18 0000000000000000000000000000000000000000
199720aff1c1278073fe109de73e72a2c888e69c 0000000000000000000000000000000000000000
19a06f3277f523fc2510019fbe0259b5c9c9dd3e 0000000000000000000000000000000000000000
19d3e07208bcb795fa614921d310e4ca21140264 0000000000000000000000000000000000000000
1b733c4738beb0b01992513f042fb115a00e2087 0000000000000000000000000000000000000000
1c0c7eefb13aab2998e3c8ac3d43f3af6b644ebc 0000000000000000000000000000000000000000
1c26c66b972219b0419a9d62f677db96deb5c3f8 0000000000000000000000000000000000000000
