# git-filter-repo commit map for the lean4-spec import (TODO #37, PR feat/todo-37-lean-migration)
# source: cfmm-replicationPlank feat/lean4-spec@fdc714e ; columns: old-sha new-sha (new = 0000… means pruned)
# pass 1 (path filter) then pass 2 (strip *.tar.gz, *.pdf); compose pass1 then pass2 to resolve a Plank SHA.
## pass 1
old                                      new
2039f2783598866a337115df4a265a75e8842e82 0000000000000000000000000000000000000000
20cd7851e04d158cbba5cfbfdd571de61d3a4a8c 0000000000000000000000000000000000000000
22326031c1bbbfce61bb42c4c9398252dc1aa70e 0000000000000000000000000000000000000000
2252f7f438c6411971cbfd06e28d647389948db3 0000000000000000000000000000000000000000
229afe3080e36f87d6c0e0f3fe56a3122a794d03 0000000000000000000000000000000000000000
2394943efde3ff645c4a9c91a8e864471544d82a 4eeb7d4a381609ede5e9c062b4d789716908480f
24254faadf93c3ca73e18bf34d1311025b95ccf9 0000000000000000000000000000000000000000
2460f7fffaf8d830a54e0d4a18f0ba61abaeaa2f c24959fe6c75239ba1d70e39b4fcfbad77441662
24c41c3e6ea219b502f1ee2f07b041c392a6e9bf 0000000000000000000000000000000000000000
24ca13627cd3a58170817fe75c9e9974e9c39a1e 0000000000000000000000000000000000000000
2501a6c3e60ffa0da9897ee7352bdc59aee8768a 0000000000000000000000000000000000000000
25101db5249eb210a2e1486faca0dc6d826ae28e 0000000000000000000000000000000000000000
257b54df29a17193db8c49d28b030b678b4014d6 0000000000000000000000000000000000000000
25c1811f4923049560b7b04f39f6275f5813e897 0000000000000000000000000000000000000000
260e298edf3d5e267e7d9ecc5b94dbefcb4a15c5 0000000000000000000000000000000000000000
265b937e78661cad02069e0b74265f3e562fd696 581921c445c7fe626fa4d97c9f5e1b17e1499a47
267b5b6a27fd39e21aae3df438b4f0d5b422432a 5ce0ebeed863b081285494606bd1687ff64b9875
269954668ee8d2d2ff2c71a51cea2b6826636f58 0000000000000000000000000000000000000000
26df8763378f0fec255df8600b656b4e7f205eea 0000000000000000000000000000000000000000
27171eff71990369cecaf570a4ab867310515191 7a5318b768814f24bb277e86acfa646cdbe88d05
271a69d33d3c817364914b292c2d102cf079c25b 0000000000000000000000000000000000000000
273256357b55aa397a55c3e779105b3953fa456c e0a4aaab7d1a9d7fb85309f32247353a99c0ebf8
277e95ecac9a4cba22153e638c4bc249f340d167 0000000000000000000000000000000000000000
2781f512618d11dc2b197ac012b22150c60c53dc 0000000000000000000000000000000000000000
27f7585178ef7fd381326de511d725402ea0096e 0000000000000000000000000000000000000000
2831daf87399c1f277fbf7d8a063c1c77181a62f 0000000000000000000000000000000000000000
285f597c9b10c0f9d050248b3c6813c32e523c91 0000000000000000000000000000000000000000
28c7c39f2cde3d9de481aba2178e0f2ce0cbadf9 0000000000000000000000000000000000000000
29d81d312ecfb8aba8c0a44a39850e78c56a85ec 0000000000000000000000000000000000000000
29f6c7ed130d98ec5f4b61b45a7ef0f2d22a59eb 0000000000000000000000000000000000000000
2adb2f8cb0a586b0044304e03c34fe2d0d9e06d4 0000000000000000000000000000000000000000
2aed72c6a31fd4c252f97e4c72f37f6286391aa4 1e6de0a8201218121a152e91511069e030aaea8f
2bd96f4abb79076dedc3d19cb4297a29451f5a95 0000000000000000000000000000000000000000
2bed3904b6a1ff6665465863d586fd553c6fda59 0000000000000000000000000000000000000000
2c84b0c67ce9f5ebbe8ae06c0a94e475dc7b1e0f 0000000000000000000000000000000000000000
2d0142b72ad78f59eb0f1f304124833eb09f7b42 0000000000000000000000000000000000000000
2d0eced8259c9039371f3b3ec29ba6622170152b 6166f4bddc8c8f7b407a806859f451b1bde61fec
2d53aaa1c83cad883fdb7904b6d83975f8a4de28 0000000000000000000000000000000000000000
2d7b5071345f496bb1449ac2eabe40254b31d8ad 0000000000000000000000000000000000000000
2d85672436ab85928d30708c8c2664dbdea0c937 0000000000000000000000000000000000000000
2d99e75cda624719da958d1a01fa47a591502e6a 0000000000000000000000000000000000000000
2d9b8519f114ded721ccc2b9dc4c0648dea318ae 0000000000000000000000000000000000000000
2dca268e1ae023ce3cffa7a8cb51ce226c7e7107 0000000000000000000000000000000000000000
2de090ac9ea8babb87f278eb6a6bc4b1a480e1f8 0000000000000000000000000000000000000000
2e0b2f2e282538b83a8b1c6481d02981039647e2 0000000000000000000000000000000000000000
2e96f570a37783c908eb7b93b2aa001d5af293d7 0000000000000000000000000000000000000000
2eb3a519cf43b88c390cc4b1951dc6475e718366 0000000000000000000000000000000000000000
2eccb7dd7017202c31078e2b790f80d2689bd81c 0000000000000000000000000000000000000000
2f5310ca04a4d893581abf9de0778ea5bef61cf9 0000000000000000000000000000000000000000
301e6ff309d2d93537c79226780aafb8ea125af5 0000000000000000000000000000000000000000
